RMM Index only for strong MJOs (amplitude>1)
Year,Mon,Day,PC1,PC2,Phase,Amplitude
1974,6,1,1.63447,1.20304,5,2.02948
1974,6,5,1.55906,1.30518,5,2.03326
1974,6,6,1.20626,1.62889,6,2.02690
1974,8,4,1.24842,1.59883,6,2.02849
1975,1,20,-1.97859,1.23032,8,2.32992
1975,1,21,-2.0882001,0.85870099,8,2.25787
1975,1,22,-1.9653701,0.66494399,8,2.07481
1975,1,23,-1.9603,0.47571099,8,2.01720
1975,1,25,-2.0430901,0.43445101,8,2.08877
1975,1,26,-1.92614,0.615197,8,2.02200
1975,1,28,-1.8505501,1.17949,8,2.19448
1975,1,29,-2.0741899,0.75050199,8,2.20579
1975,1,30,-2.3092201,0.61277997,8,2.38914
1975,1,31,-2.155,0.24450999,8,2.16883
1975,2,1,-2.0206599,-0.1508,1,2.02628
1975,2,4,-1.45917,-1.4988199,2,2.09181
1975,2,5,-1.25,-1.58734,2,2.02043
1975,2,6,-1.1558,-1.73176,2,2.08203
1975,2,7,-0.92308998,-2.1097701,2,2.30288
1975,2,8,-0.30785999,-2.03526,2,2.05841
1975,3,15,0.96258801,-1.93252,3,2.15898
1975,3,16,1.0669301,-2.08757,3,2.34442
1975,3,17,1.28534,-1.74719,3,2.16905
1975,4,12,-0.58406001,-2.0250399,2,2.10758
1975,4,13,-0.31641001,-2.3662701,2,2.38733
1975,4,14,-0.0339241996,-2.69172,2,2.69193
1975,4,15,0.27016899,-2.8252299,3,2.83811
1975,4,16,0.67006302,-2.47312,3,2.56229
1975,4,17,1.33311,-2.1544099,3,2.53351
1975,4,18,1.88192,-1.65794,4,2.50807
1975,4,19,2.0578001,-1.1721801,4,2.36824
1975,4,20,2.17908,-0.73154998,4,2.29860
1975,4,21,2.22366,-0.20938,4,2.23350
1975,4,22,2.24403,0.30976799,5,2.26531
1975,4,23,1.88205,0.88283801,5,2.07883
1975,6,19,2.12992,0.28983599,5,2.14955
1975,6,20,2.0276899,0.68429101,5,2.14004
1975,6,21,1.85167,0.82911599,5,2.02882
1975,6,23,1.4060301,1.57154,6,2.10871
1975,6,24,1.75611,1.83921,6,2.54295
1975,6,25,1.54757,1.46718,5,2.13251
1975,6,29,-1.09272,1.74002,7,2.05468
1975,6,30,-1.5203201,1.5635999,7,2.18088
1975,7,1,-2.0174501,1.3320301,8,2.41753
1975,7,2,-2.1535499,1.22666,8,2.47840
1975,7,3,-1.99859,1.04255,8,2.25417
1975,7,4,-1.84791,0.87839299,8,2.04606
1975,7,5,-1.95389,0.647205,8,2.05829
1975,7,6,-2.08283,0.33127001,8,2.10901
1975,7,7,-2.00646,0.102029,8,2.00905
1975,7,22,-1.13311,-1.83645,2,2.15789
1975,7,23,-0.78798997,-1.92532,2,2.08033
1975,7,24,-0.48097,-2.0299699,2,2.08617
1976,1,17,0.98160499,2.2028,6,2.41161
1976,1,18,0.89775902,2.3924699,6,2.55536
1976,1,19,0.597458,2.3719201,6,2.44601
1976,1,20,0.33946899,2.4503701,6,2.47378
1976,1,21,0.21533801,2.5455201,6,2.55461
1976,1,22,0.00412933994,2.66313,6,2.66313
1976,1,23,-0.20491999,2.5442801,7,2.55252
1976,1,24,-0.25646999,2.7549801,7,2.76689
1976,1,25,-0.7694,2.78866,7,2.89285
1976,1,26,-1.5317,2.47825,7,2.91339
1976,1,27,-2.08268,2.0492001,8,2.92178
1976,1,28,-2.43156,1.4730099,8,2.84292
1976,1,29,-2.65484,1.06143,8,2.85916
1976,1,30,-2.6942101,0.637977,8,2.76871
1976,1,31,-2.32692,0.48311001,8,2.37655
1976,5,3,1.15484,-1.70101,3,2.05599
